,,,,,Aerophone,Aerophone,Aerophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Idiophone,Idiophone,Aerophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Aerophone,Membranophone,Aerophone,Idiophone,Aerophone,Idiophone,Aerophone,Membranophone,Aerophone,Membranophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Idiophone,Idiophone,Idiophone,Idiophone
Ethnic_group,Language_Family,lon,lat,number of instruments,bark_trumpets,bark_trumpets_played_like_panpipes,bullroarer,buzz_disc,clappers,double_whistles_with_blow_taps,duct_flutes_without_stops,duct_flutes_with_stops,dyadiko,flat_roots_as_signal_instruments,aztec_flute,flutes_with_blow_hole_in_septum,friction_idiophones,goajiro_clarinets_with_stops,heteroglottal_clarinets,humming_nuts,humming_tops,chaco_type_kettle_drums,nose_blown_flutes,notched_stick,oscillating_ribbon_reeds,plank_drums,polyglobular_trumpets,two_headed_drums,shell_trumpets_(end_blown),single_membrane_tubular_drums,slit_valve_instruments,spear_rattles,tore_clarinets,hand_stop_flute,buccal_whistle,other_transverse_flutes_without_stops,serere_whistle,simple_closed_pipes,timbira_flute,transverse_flutes_without_airducts_and_with_stops,trumpets_of_two_longitudinal_halves,tubular_rattles,whistling_arrows_and_darts,wooden_trumpet,chaco_clarinet,complex_trumpet,plug_flute,mataco_whistle,gourd_trumpet,bamboo_trumpet,cow_horn_trumpet,globular_flutes_without_stops,resonator_whistle,globular_flutes_with_stops,simple_end_flute,kena,panpipe,gourd_rattle,jingle_rattle,hollow_log_drum,stamping_tube
Guato,Guato,-57.28974,-17.86961,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Guayabero,Guahibo,-71.84405,2.8969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Haliti,Arawakan,-57.40595,-14.59295,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Ingariko,Cariban,-60.86199,6.162765,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Popukare,Arawakan,-66.77141,-8.21692,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishir,Zamucoan,-58.20047,-20.58988,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
Itonama,Itonama,-64.35748,-12.80431,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jebero,Cahuapanan,-76.41032,-5.40317,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Juri,Ticuna_Yuri,-69.984741,-1.358881,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Kadiweu,Guaicuruan,-57.58202,-19.72224,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Kaiowa,Tupian,-54.681455,-24.58898,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Kaixana,Arawakan,-67.419434,-1.656507,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Kamayura,Tupian,-53.46514,-12.26606,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
Kambeba,Tupian,-69.166735,-3.526,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
Karaja,Nuclear_Macro_Je,-50.34918,-11.18812,12,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0
Carutana,Arawakan,-67.77038,2.178585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kawaiwete,Tupian,-55.54792,-11.27468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kisedje,Nuclear_Macro_Je,-53.07426,-11.51782,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kogi,Chibchan,-73.80426,10.94849,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Huitoto,Huitotoan,-73.83307,-1.13669,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1
